id;status;duration;credit_history;purpose;credit_amount;savings/bonds;employment_duration;installment_rate;personal_status_and_sex;other_debtors;residence_duration;property;age;installment_plans;housing;number_of_credits;job;people_liable;telephone;foreign_worker;credit_risk;predicted_label
2;2;48;2;3;5951;1;3;2;2;1;2;1;22;3;2;1;3;1;1;1;1;1
3;4;12;4;6;2096;1;4;2;3;1;3;1;49;3;2;1;2;2;1;1;0;0
7;4;24;2;2;2835;3;5;3;3;1;4;2;53;3;2;1;3;1;1;1;0;0
12;1;48;2;9;4308;1;2;3;2;1;4;2;24;3;1;1;3;1;1;1;1;1
14;1;24;4;0;1199;1;5;4;3;1;4;3;60;3;2;2;2;1;1;1;1;0
22;1;6;2;3;2647;3;3;2;3;1;3;1;44;3;1;1;3;2;1;1;0;0
23;1;10;4;0;2241;1;2;1;3;1;3;1;48;3;1;2;2;2;1;2;0;0
29;2;7;2;3;2415;1;3;3;3;3;2;1;34;3;2;1;3;1;1;1;0;0
31;2;18;2;9;1913;4;2;3;4;1;3;1;36;1;2;1;3;1;2;1;0;0
39;3;10;2;4;1225;1;3;2;3;1;2;3;37;3;2;1;3;1;2;1;0;0
44;1;30;4;1;6187;2;4;1;4;1;4;3;24;3;1;2;3;1;1;1;0;0
47;4;36;2;3;2299;3;5;4;3;1;4;3;39;3;2;1;3;1;1;1;0;0
48;1;6;2;1;1352;3;1;1;2;1;2;2;23;3;1;1;1;1;2;1;0;0
53;4;12;2;3;1262;1;3;3;3;1;2;3;25;3;2;1;3;1;1;1;0;0
65;4;24;2;3;3181;1;2;4;2;1;4;2;26;3;2;1;3;1;2;1;0;0
71;4;36;2;1;8133;1;3;1;2;1;2;2;30;1;2;1;3;1;1;1;0;0
79;4;54;0;1;9436;5;3;2;3;1;2;2;39;3;2;1;2;2;1;1;0;0
84;1;24;2;10;1755;1;5;4;2;3;4;1;58;3;2;1;2;1;2;1;0;0
86;4;12;4;9;1412;1;3;4;2;3;2;1;29;3;2;2;4;1;2;1;0;0
90;1;12;0;5;1108;1;4;4;3;1;3;1;28;3;2;2;3;1;1;1;1;1
97;4;12;4;6;2012;5;4;4;2;1;2;3;61;3;2;1;3;1;1;1;0;0
108;2;12;2;0;6078;1;4;2;3;1;2;3;32;3;2;1;3;1;1;1;0;0
113;2;18;2;0;6260;1;4;3;3;1;3;1;28;3;1;1;2;1;1;1;0;0
116;4;48;4;3;3578;5;5;4;3;1;1;1;47;3;2;1;3;1;2;1;0;0
117;1;42;2;3;7174;5;4;4;2;1;3;3;30;3;2;1;4;1;2;1;1;1
119;1;33;4;2;4281;3;3;1;2;1;4;3;23;3;2;2;3;1;1;1;1;0
123;4;12;2;2;1768;1;3;3;3;1;2;1;24;3;1;1;2;1;1;1;0;0
129;2;12;4;1;1860;1;1;4;3;1;2;3;34;3;2;2;4;1;2;1;0;0
130;1;12;4;0;3499;1;3;3;2;2;2;1;29;3;2;2;3;1;1;1;1;0
131;2;48;2;0;8487;5;4;1;2;1;2;3;24;3;2;1;3;1;1;1;0;0
133;4;15;2;2;2708;1;2;2;3;1;3;2;27;1;2;2;2;1;1;1;0;0
134;4;18;2;2;1984;1;3;4;3;1;4;4;47;1;3;2;3;1;1;1;0;0
135;4;60;2;3;10144;2;4;2;2;1;4;1;21;3;2;1;3;1;2;1;0;0
139;2;15;4;3;2728;5;4;4;3;3;2;1;35;1;2;3;3;1;2;1;0;0
142;2;36;2;3;4795;1;2;4;2;1;1;4;30;3;2;1;4;1;2;1;0;1
143;1;27;2;3;3416;1;3;3;3;1;2;3;27;3;2;1;4;1;1;1;0;1
150;4;18;4;3;1582;4;5;4;3;1;4;3;46;3;2;2;3;1;1;1;0;0
156;1;12;2;2;1282;1;3;2;2;1;4;3;20;3;1;1;3;1;1;1;1;1
